fault_links,fault_count,returncode,output_dir,python_time_sec,cplex_time_sec,lmax_sum,inspection_time_sec,total_time_sec
1-2,1,0,batch_output/f_1-2,1.466,0.810,5760.000,0.028800,2.305
1-5,1,0,batch_output/f_1-5,1.408,0.800,4724.000,0.023620,2.232
1-6,1,0,batch_output/f_1-6,1.245,0.790,3206.000,0.016030,2.052
1-7,1,0,batch_output/f_1-7,0.773,0.190,8600.000,0.043000,1.006
1-9,1,0,batch_output/f_1-9,1.404,0.810,6412.000,0.032060,2.246
1-11,1,0,batch_output/f_1-11,0.830,0.210,8522.000,0.042610,1.083
2-3,1,0,batch_output/f_2-3,1.467,0.790,5760.000,0.028800,2.286
2-5,1,0,batch_output/f_2-5,0.978,0.160,8712.000,0.043560,1.181
2-8,1,0,batch_output/f_2-8,0.766,0.150,6676.000,0.033380,0.949
3-5,1,0,batch_output/f_3-5,1.212,0.180,9700.000,0.048500,1.440
3-6,1,0,batch_output/f_3-6,0.840,0.200,8600.000,0.043000,1.083
3-7,1,0,batch_output/f_3-7,1.443,0.790,5760.000,0.028800,2.262
3-8,1,0,batch_output/f_3-8,0.836,0.210,8600.000,0.043000,1.089
4-6,1,0,batch_output/f_4-6,0.848,0.200,8522.000,0.042610,1.091
4-7,1,0,batch_output/f_4-7,0.565,0.130,4294.000,0.021470,0.717
4-8,1,0,batch_output/f_4-8,0.568,0.130,4294.000,0.021470,0.719
4-9,1,0,batch_output/f_4-9,0.576,0.140,4294.000,0.021470,0.738
4-10,1,0,batch_output/f_4-10,0.827,0.200,8522.000,0.042610,1.069
5-6,1,0,batch_output/f_5-6,1.465,0.800,4724.000,0.023620,2.289
5-11,1,0,batch_output/f_5-11,1.174,0.190,10748.000,0.053740,1.417
6-9,1,0,batch_output/f_6-9,1.506,0.820,4724.000,0.023620,2.349
7-8,1,0,batch_output/f_7-8,0.813,0.180,8600.000,0.043000,1.036
7-10,1,0,batch_output/f_7-10,1.452,0.790,6412.000,0.032060,2.274
9-10,1,0,batch_output/f_9-10,1.507,0.830,6412.000,0.032060,2.369
9-11,1,0,batch_output/f_9-11,0.560,0.120,4294.000,0.021470,0.702
10-11,1,0,batch_output/f_10-11,0.865,0.230,8522.000,0.042610,1.137
"1-2,1-5",2,0,batch_output/f_1-2__1-5,1.749,0.840,7278.000,0.036390,2.625
"1-2,1-6",2,0,batch_output/f_1-2__1-6,1.522,0.830,5760.000,0.028800,2.380
"1-2,1-7",2,0,batch_output/f_1-2__1-7,2.143,1.030,14360.000,0.071800,3.244
"1-2,1-9",2,0,batch_output/f_1-2__1-9,1.711,0.840,8966.000,0.044830,2.596
"1-2,1-11",2,0,batch_output/f_1-2__1-11,2.112,1.020,14282.000,0.071410,3.203
"1-2,2-3",2,0,batch_output/f_1-2__2-3,1.490,0.830,5760.000,0.028800,2.349
"1-2,2-5",2,0,batch_output/f_1-2__2-5,2.340,1.020,14472.000,0.072360,3.433
"1-2,2-8",2,0,batch_output/f_1-2__2-8,2.107,0.980,12436.000,0.062180,3.149
"1-2,3-5",2,0,batch_output/f_1-2__3-5,2.499,1.000,15460.000,0.077300,3.577
"1-2,3-6",2,0,batch_output/f_1-2__3-6,2.123,1.030,14360.000,0.071800,3.225
"1-2,3-7",2,0,batch_output/f_1-2__3-7,1.482,0.800,5760.000,0.028800,2.310
"1-2,3-8",2,0,batch_output/f_1-2__3-8,2.161,1.060,14360.000,0.071800,3.293
"1-2,4-6",2,0,batch_output/f_1-2__4-6,2.131,1.020,14282.000,0.071410,3.223
"1-2,4-7",2,0,batch_output/f_1-2__4-7,1.806,0.940,10054.000,0.050270,2.796
"1-2,4-8",2,0,batch_output/f_1-2__4-8,1.796,0.940,10054.000,0.050270,2.786
"1-2,4-9",2,0,batch_output/f_1-2__4-9,1.850,0.960,10054.000,0.050270,2.860
"1-2,4-10",2,0,batch_output/f_1-2__4-10,2.147,1.020,14282.000,0.071410,3.238
"1-2,5-6",2,0,batch_output/f_1-2__5-6,1.695,0.830,7278.000,0.036390,2.561
"1-2,5-11",2,0,batch_output/f_1-2__5-11,2.466,0.980,16508.000,0.082540,3.529
"1-2,6-9",2,0,batch_output/f_1-2__6-9,1.666,0.830,7278.000,0.036390,2.532
"1-2,7-8",2,0,batch_output/f_1-2__7-8,2.105,1.020,14360.000,0.071800,3.197
"1-2,7-10",2,0,batch_output/f_1-2__7-10,1.699,0.830,8966.000,0.044830,2.573
"1-2,9-10",2,0,batch_output/f_1-2__9-10,1.666,0.830,8966.000,0.044830,2.541
"1-2,9-11",2,0,batch_output/f_1-2__9-11,1.793,0.920,10054.000,0.050270,2.763
"1-2,10-11",2,0,batch_output/f_1-2__10-11,2.053,0.990,14282.000,0.071410,3.115
"1-5,1-6",2,0,batch_output/f_1-5__1-6,1.473,0.810,4724.000,0.023620,2.307
"1-5,1-7",2,0,batch_output/f_1-5__1-7,2.092,1.040,13324.000,0.066620,3.198
"1-5,1-9",2,0,batch_output/f_1-5__1-9,1.671,0.820,7930.000,0.039650,2.531
"1-5,1-11",2,0,batch_output/f_1-5__1-11,2.083,1.020,13246.000,0.066230,3.170
