network,fault_links,fault_count,total_inspection_count,output_dir
cost239-1,1-2,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-2
cost239-1,1-5,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5
cost239-1,1-6,1,8,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6
cost239-1,1-7,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7
cost239-1,1-9,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9
cost239-1,1-11,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11
cost239-1,2-3,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3
cost239-1,2-5,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5
cost239-1,2-8,1,8,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8
cost239-1,3-5,1,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_3-5
cost239-1,3-6,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_3-6
cost239-1,3-7,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_3-7
cost239-1,3-8,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_3-8
cost239-1,4-6,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_4-6
cost239-1,4-7,1,9,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_4-7
cost239-1,4-8,1,9,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_4-8
cost239-1,4-9,1,9,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_4-9
cost239-1,4-10,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_4-10
cost239-1,5-6,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_5-6
cost239-1,5-11,1,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_5-11
cost239-1,6-9,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_6-9
cost239-1,7-8,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_7-8
cost239-1,7-10,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_7-10
cost239-1,9-10,1,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_9-10
cost239-1,9-11,1,9,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_9-11
cost239-1,10-11,1,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_10-11
cost239-1,1-2;1-5,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-2__1-5
cost239-1,1-2;1-6,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-2__1-6
